Issuer Name,Theme,Issue Date,Amount Issued,Currency,Amount (USD),Country,Sector,Narrative
TSMC,Green,2022-07-30,1400000000,TWD,46648000,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-07-29,1200000000,TWD,39984000,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-07-28,10100000000,TWD,337612700,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-07-27,1200000000,TWD,40168800,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-01-12,3100000000,TWD,111928290,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-01-12,2100000000,TWD,75822390,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
Hitachi Construction Machinery Co Ltd,Green,2024-03-07,10000000000,JPY,66420000,Japan,Industry,Climate Bonds Aligned - Hitachi Construction Machinery Co Ltd. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
TSMC,Green,2022-05-20,6100000000,TWD,205082000,Taiwan,Industry,Climate Bonds Aligned - TSMC. Largest Technology Companies by Revenue (Fortune Global 500  annual reports and other publicly available information)
GoodLeap LLC,Green,2023-02-23,12994000,USD,12994000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-02-23,17759000,USD,17759000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-02-23,240830000,USD,240830000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-12-28,13700000,USD,13700000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-12-28,18200000,USD,18200000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-12-28,228300000,USD,228300000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-12-28,92780000,USD,92780000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-08-10,41700000,USD,41700000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-08-10,27646000,USD,27646000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-08-10,25918000,USD,25918000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-08-10,301881000,USD,301881000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-05-11,44300000,USD,44300000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-05-11,28980000,USD,28980000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-05-11,30382000,USD,30382000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-05-11,299611000,USD,299611000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-11-10,40900000,USD,40900000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-11-10,16780000,USD,16780000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-11-10,14828000,USD,14828000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2022-11-10,239778000,USD,239778000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
Goodleap LLC,Green,2023-08-30,132500000,USD,132500000,USA,0,Climate Bonds Aligned - Goodleap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
Goodleap LLC,Green,2023-08-30,23252000,USD,23252000,USA,0,Climate Bonds Aligned - Goodleap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
Goodleap LLC,Green,2023-08-30,26249000,USD,26249000,USA,0,Climate Bonds Aligned - Goodleap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
Goodleap LLC,Green,2023-08-30,265124000,USD,265124000,USA,0,Climate Bonds Aligned - Goodleap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2024-06-12,12284000,USD,12284000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2024-06-12,11988000,USD,11988000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2024-06-12,197137000,USD,197137000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-06-08,154200000,USD,154200000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-06-08,15254000,USD,15254000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-06-08,17644000,USD,17644000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2023-06-08,273072000,USD,273072000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2024-10-29,30000000,USD,30000000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2024-10-29,23600000,USD,23600000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
GoodLeap LLC,Green,2024-10-29,324700000,USD,324700000,USA,0,Climate Bonds Aligned - GoodLeap LLC. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
Northvolt AB,Green,2024-01-16,5000000000,USD,5000000000,Sweden,Industry,Climate Bonds Aligned - Northvolt AB. Unicorn Startup Companies (The Wall Street Journal  Fortune Magazine  CNNMoney/CB Insights  TechCrunch  PitchBook/Morningstar  Tech in Asia and other publicly available information)
Agrarius Sustainability Engineered RF Ltd,SLB,2024-02-02,300000000,ZAR,16833000,South Africa,Real Estate,This is a Sustainability-linked Bond issuance from Agrarius Sustainability Engineered RF Ltd.
Agrarius Sustainability Engineered RF Ltd,SLB,2022-10-28,600000000,ZAR,33857369,South Africa,Materials,This is a Sustainability-linked Bond issuance from Agrarius Sustainability Engineered RF Ltd.
Barloworld Ltd,SLB,2022-07-12,785000000,ZAR,44296725,South Africa,Industrials,This is a Sustainability-linked Bond issuance from Barloworld Ltd.
Barloworld Ltd,SLB,2022-07-12,315000000,ZAR,17775119,South Africa,Industrials,This is a Sustainability-linked Bond issuance from Barloworld Ltd.
Fortress Real Estate Investments Ltd,SLB,2022-02-22,500000000,ZAR,28214474,South Africa,Real Estate,This is a Sustainability-linked Bond issuance from Fortress Real Estate Investments Ltd.
Rikshem AB,SLB,2024-03-26,250000000,SEK,24190000,Sweden,Real Estate,This is a Sustainability-linked Bond issuance from Rikshem AB.
Koninklijke Ahold Delhaize NV,SLB,2024-03-11,700000000,EUR,762720000,Netherlands ,Agri & Food,This is a Sustainability-linked Bond issuance from Koninklijke Ahold Delhaize NV.
Heathrow Funding Ltd,SLB,2024-03-05,350000000,GBP,446215000,United Kingdom,Industrials,This is a Sustainability-linked Bond issuance from Heathrow Funding Ltd.
TUI AG,SLB,2024-03-13,500000000,EUR,542550000,Germany,Consumer Discretionary,This is a Sustainability-linked Bond issuance from TUI AG.
Autostrade per l'Italia SpA,SLB,2024-02-28,500000000,EUR,542550000,Italy,Industrials,This is a Sustainability-linked Bond issuance from Autostrade per l'Italia SpA.
Autostrade per l'Italia SpA,SLB,2024-02-28,500000000,EUR,542550000,Italy,Industrials,This is a Sustainability-linked Bond issuance from Autostrade per l'Italia SpA.
Rikshem AB,SLB,2024-02-28,750000000,SEK,72570000,Sweden,Real Estate,This is a Sustainability-linked Bond issuance from Rikshem AB.
Snam SpA,SLB,2024-02-19,1000000000,EUR,1085100000,Italy,Oil & Gas,This is a Sustainability-linked Bond issuance from Snam SpA.
Goldstory SAS,SLB,2024-02-14,500000000,EUR,542550000,France,Consumer Discretionary,This is a Sustainability-linked Bond issuance from Goldstory SAS.
Goldstory SAS,SLB,2024-02-14,350000000,EUR,379785000,France,Consumer Discretionary,This is a Sustainability-linked Bond issuance from Goldstory SAS.
Enel Finance International NV,SLB,2024-01-23,1000000000,EUR,1057194205,Italy,Utilities,This is a Sustainability-linked Bond issuance from Enel Finance International NV.
Enel Finance International NV,SLB,2024-01-23,750000000,EUR,792895654,Italy,Utilities,This is a Sustainability-linked Bond issuance from Enel Finance International NV.
Mundys SpA,SLB,2024-01-24,750000000,EUR,792895654,Italy,Financials,This is a Sustainability-linked Bond issuance from Mundys SpA.
Nordea Bank Abp,SLB,2023-09-06,1000000000,EUR,1111000000,Finland,Financials,This is a Sustainability-linked Bond issuance from Nordea Bank Abp.
Black Sea Trade & Development Bank,SLB,2021-05-10,30000000,GBP,38232000,Supernational,Government,This is a Sustainability-linked Bond issuance from Black Sea Trade & Development Bank.
Kinetik Holdings LP,SLB,2023-12-19,300000000,USD,300000000,United States,Oil & Gas,This is a Sustainability-linked Bond issuance from Kinetik Holdings LP.
JBS USA Food Co,SLB,2021-06-15,1000000000,USD,1000000000,United States,Agri & Food,This is a Sustainability-linked Bond issuance from JBS USA Food Co.
JBS USA Holding Lux Sarl/ JBS USA Food Co/ JBS Lux Co Sarl,SLB,2022-08-19,968548000,USD,968548000,United States,Agri & Food,This is a Sustainability-linked Bond issuance from JBS USA Holding Lux Sarl/ JBS USA Food Co/ JBS Lux Co Sarl.
JBS USA Holding Lux Sarl/ JBS USA Food Co/ JBS Lux Co Sarl,SLB,2021-12-01,1000000000,USD,1000000000,United States,Agri & Food,This is a Sustainability-linked Bond issuance from JBS USA Holding Lux Sarl/ JBS USA Food Co/ JBS Lux Co Sarl.
Inversiones CMPC SA,SLB,2024-02-26,500000000,USD,500000000,Chile,Paper and Pulp,This is a Sustainability-linked Bond issuance from Inversiones CMPC SA.
International Bank for Reconstruction & Development,SLB,2024-01-31,100000000,USD,100000000,Supranational,Industrials,This is a Sustainability-linked Bond issuance from International Bank for Reconstruction & Development.
STT GDC Pte Ltd,SLB,2024-01-15,450000000,SGD,335745000,Singapore,Government,This is a Sustainability-linked Bond issuance from STT GDC Pte Ltd.
Zengun Group AB,SLB,2024-02-05,400000000,SEK,37720000,Sweden,Industrials,This is a Sustainability-linked Bond issuance from Zengun Group AB.
Uppsala Kommun,SLB,2023-05-31,300000000,SEK,29190460,Sweden,Government,This is a Sustainability-linked Bond issuance from Uppsala Kommun.
Humlegarden Fastigheter AB,SLB,2024-01-24,500000000,SEK,47150000,Sweden,Oil & Gas,This is a Sustainability-linked Bond issuance from Humlegarden Fastigheter AB.
NOS SGPS SA,SLB,2024-01-18,50000000,EUR,53670000,Portugal,Consumer Discretionary,This is a Sustainability-linked Bond issuance from NOS SGPS SA.
Mota-Engil SGPS SA,SLB,2022-10-20,70000000,EUR,77770000,Portugal,Industrials,This is a Sustainability-linked Bond issuance from Mota-Engil SGPS SA.
Banco Promerica de Costa Rica SA,SLB,2021-09-23,10000000,USD,10000000,Costa Rica,Financials,This is a Sustainability-linked Bond issuance from Banco Promerica de Costa Rica SA.
Twma Finance AS,SLB,2024-02-08,63000000,USD,63000000,Norway,Financials,This is a Sustainability-linked Bond issuance from Twma Finance AS.
Wallenius Wilhelmsen ASA,SLB,2023-08-31,1000000000,NOK,94170000,Norway,Shipping,This is a Sustainability-linked Bond issuance from Wallenius Wilhelmsen ASA.
Cenviro Sdn Bhd,SLB,2023-03-31,21563000,MYR,4973590,Malaysia,Industrials,This is a Sustainability-linked Bond issuance from Cenviro Sdn Bhd.
Bank Pembangunan Malaysia Bhd,SLB,2023-12-01,400000000,MYR,92261561,Malaysia,Financials,This is a Sustainability-linked Bond issuance from Bank Pembangunan Malaysia Bhd.
Hap Seng Management Sdn Bhd,SLB,2024-03-29,100000000,MYR,21057064,Malaysia,Agri & Food,This is a Sustainability-linked Bond issuance from Hap Seng Management Sdn Bhd.
Hap Seng Management Sdn Bhd,SLB,2024-03-29,90000000,MYR,18951358,Malaysia,Agri & Food,This is a Sustainability-linked Bond issuance from Hap Seng Management Sdn Bhd.
Hap Seng Management Sdn Bhd,SLB,2024-03-29,60000000,MYR,12634238,Malaysia,Agri & Food,This is a Sustainability-linked Bond issuance from Hap Seng Management Sdn Bhd.
Comision Federal de Electricidad,SLB,2023-12-11,582350700,MXN,29152184,Mexico,Utilities,This is a Sustainability-linked Bond issuance from Comision Federal de Electricidad.
Comision Federal de Electricidad,SLB,2023-12-11,2844051400,MXN,142371791,Mexico,Utilities,This is a Sustainability-linked Bond issuance from Comision Federal de Electricidad.
Vinte Viviendas Integrales SAB de CV,SLB,2023-12-04,1500000000,MXN,75089250,Mexico,Real Estate,This is a Sustainability-linked Bond issuance from Vinte Viviendas Integrales SAB de CV.
Grupo Aeroportuario del Pacifico SAB de CV,SLB,2024-03-20,1384868300,MXN,84792716,Mexico,Industrials,This is a Sustainability-linked Bond issuance from Grupo Aeroportuario del Pacifico SAB de CV.
Grupo Aeroportuario del Pacifico SAB de CV,SLB,2024-03-20,1615137700,MXN,98891651,Mexico,Industrials,This is a Sustainability-linked Bond issuance from Grupo Aeroportuario del Pacifico SAB de CV.
Fibra Uno Administracion SA de CV,SLB,2023-12-01,1500000000,MXN,87834961,Mexico,Real Estate,This is a Sustainability-linked Bond issuance from Fibra Uno Administracion SA de CV.
Grupo Elektra,SLB,2023-12-08,1110000000,MXN,64997871,Mexico,Financials,This is a Sustainability-linked Bond issuance from Grupo Elektra.
Grupo Elektra,SLB,2023-12-08,1390000000,MXN,81393731,Mexico,Financials,This is a Sustainability-linked Bond issuance from Grupo Elektra.
Sony Bank Inc,SLB,2024-02-13,20000000000,JPY,133400000,Japan,Financials,This is a Sustainability-linked Bond issuance from Sony Bank Inc.
Fuyo General Lease Co Ltd,SLB,2024-02-28,10000000000,JPY,67660000,Japan,Financials,This is a Sustainability-linked Bond issuance from Fuyo General Lease Co Ltd.
JERA Co Inc,SLB,2024-03-06,10000000000,JPY,67660000,Japan,Utilities,This is a Sustainability-linked Bond issuance from JERA Co Inc.
JA Mitsui Leasing Ltd,SLB,2024-01-25,20000000000,JPY,135290000,Japan,Financials,This is a Sustainability-linked Bond issuance from JA Mitsui Leasing Ltd.
Pusterla 1880 - SpA,SLB,2021-02-24,25000000,EUR,27775000,Italy,Materials,This is a Sustainability-linked Bond issuance from Pusterla 1880 - SpA.
New Hope Group Co. Ltd.,SLB,2023-12-29,1000000000,CNY,138684714,China,Food,This is a Sustainability-linked Bond issuance from New Hope Group Co. Ltd..
BEL SA,SLB,2023-12-13,135000000,EUR,149985000,France,Financials,This is a Sustainability-linked Bond issuance from BEL SA.
RCI Banque SA,SLB,2023-06-14,750000000,EUR,833250000,France,Automobiles,This is a Sustainability-linked Bond issuance from RCI Banque SA.
Carrefour SA,SLB,2022-11-28,350000000,EUR,388850000,France,Agri & Food,This is a Sustainability-linked Bond issuance from Carrefour SA.
NGE SAS,SLB,2021-12-08,115000000,EUR,127765000,France,Industrials,This is a Sustainability-linked Bond issuance from NGE SAS.
NGE SAS,SLB,2021-12-08,35000000,EUR,38885000,France,Industrials,This is a Sustainability-linked Bond issuance from NGE SAS.
Schneider Electric SE,SLB,2015-10-13,300000000,EUR,333300000,United States,Industrials,This is a Sustainability-linked Bond issuance from Schneider Electric SE.
Compania de Empaques S.A.,SLB,2021-12-17,50000000000,COP,12282929,Colombia,Materials,This is a Sustainability-linked Bond issuance from Compania de Empaques S.A..
Juhua Group Corp,SLB,2024-02-29,1500000000,CNY,206660000,China,Chemicals,This is a Sustainability-linked Bond issuance from Juhua Group Corp.
Sichuan Province Airport Group,SLB,2024-01-15,1000000000,CNY,138684714,China,Airport,This is a Sustainability-linked Bond issuance from Sichuan Province Airport Group.
Henan Airport Investment Group Co. LTD,SLB,2023-12-25,1000000000,CNY,138684714,China,Financials,This is a Sustainability-linked Bond issuance from Henan Airport Investment Group Co. LTD.
Shandong Public Holdings Co. Ltd,SLB,2023-07-07,500000000,CNY,69342357,China,Industrials,This is a Sustainability-linked Bond issuance from Shandong Public Holdings Co. Ltd.
Bonos de la Tesoreria de la Republica,SLB,2023-10-20,24000000,CLP,26304,Chile,Government,This is a Sustainability-linked Bond issuance from Bonos de la Tesoreria de la Republica.
TELUS Corp,SLB,2024-02-15,500000000,CAD,367950000,Canada,Communications,This is a Sustainability-linked Bond issuance from TELUS Corp.
Rede D'Or Sao Luiz SA,SLB,2021-11-29,750000000,BRL,133732500,Brazil,Health Care,This is a Sustainability-linked Bond issuance from Rede D'Or Sao Luiz SA.
Rede D'Or Sao Luiz SA,SLB,2021-11-29,750000000,BRL,133732500,Brazil,Health Care,This is a Sustainability-linked Bond issuance from Rede D'Or Sao Luiz SA.
Rumo Malha Paulista SA,SLB,2023-08-15,750000000,BRL,152505000,Brazil,Industrials,This is a Sustainability-linked Bond issuance from Rumo Malha Paulista SA.
Rumo Malha Paulista SA,SLB,2023-08-15,750000000,BRL,152505000,Brazil,Industrials,This is a Sustainability-linked Bond issuance from Rumo Malha Paulista SA.
Compass Gas e Energia,SLB,2023-11-01,1736385000,BRL,353076525,Brazil,Oil & Gas,This is a Sustainability-linked Bond issuance from Compass Gas e Energia.
Energisa S/A,SLB,2022-10-20,200000000,BRL,35662000,Brazil,Utilities,This is a Sustainability-linked Bond issuance from Energisa S/A.
Energisa S/A,SLB,2022-10-20,550000000,BRL,98070500,Brazil,Utilities,This is a Sustainability-linked Bond issuance from Energisa S/A.
Elea Digital,SLB,2023-12-18,570000000,BRL,115903800,Brazil,Industrials,This is a Sustainability-linked Bond issuance from Elea Digital.
Grupo Boticário,SLB,2023-12-10,2000000000,BRL,406680000,Brazil,Consumer Discretionary,This is a Sustainability-linked Bond issuance from Grupo Boticário.
Algar Telecom SA,SLB,2023-11-15,700000000,BRL,139279000,Brazil,Technology,This is a Sustainability-linked Bond issuance from Algar Telecom SA.
BAD 21 BVBA,SLB,2023-08-10,20000000,EUR,22220000,Belgium,Financials,This is a Sustainability-linked Bond issuance from BAD 21 BVBA.
Proximus SADP,SLB,2021-11-17,750000000,EUR,833250000,Belgium,Communications,This is a Sustainability-linked Bond issuance from Proximus SADP.
Red Surcos SA,SLB,2024-02-26,3606129,USD,3606129,Argentina,Chemicals,This is a Sustainability-linked Bond issuance from Red Surcos SA.
Guotai Leasing Limited Company,SLB,2024-03-01,38000000,CNY,5281430,China,Financials,This is a Sustainability-linked Bond issuance from Guotai Leasing Limited Company.
Guotai Leasing Limited Company,SLB,2024-03-01,110000000,CNY,15288350,China,Financials,This is a Sustainability-linked Bond issuance from Guotai Leasing Limited Company.
Guotai Leasing Limited Company,SLB,2024-03-01,320000000,CNY,44475200,China,Financials,This is a Sustainability-linked Bond issuance from Guotai Leasing Limited Company.
Guotai Leasing Limited Company,SLB,2024-03-01,289000000,CNY,40166665,China,Financials,This is a Sustainability-linked Bond issuance from Guotai Leasing Limited Company.
Xinghua City Construction Investment Co. Ltd.,SLB,2024-03-01,175000000,CNY,24110333,China,Industrials,This is a Sustainability-linked Bond issuance from Xinghua City Construction Investment Co. Ltd..
Xianyang Urban Development Group Co.  Ltd,SLB,2024-01-17,500000000,CNY,69342357,China,Industrials,This is a Sustainability-linked Bond issuance from Xianyang Urban Development Group Co.  Ltd.
Chengdu Economic&Technology Development Zone Industrial Investment Group Co Ltd,SLB,2024-01-29,250000000,CNY,34671178,China,Industrials,This is a Sustainability-linked Bond issuance from Chengdu Economic&Technology Development Zone Industrial Investment Group Co Ltd.
Chengdu Jingkai Industrial Investment Group Co.  Ltd,SLB,2024-02-01,250000000,CNY,34746250,China,Industrials,This is a Sustainability-linked Bond issuance from Chengdu Jingkai Industrial Investment Group Co.  Ltd.
Jiangyin New Guolian Group Co.  Ltd,SLB,2023-03-07,600000000,CNY,83210828,China,Financials,This is a Sustainability-linked Bond issuance from Jiangyin New Guolian Group Co.  Ltd.
Juhua Group Corporation,SLB,2024-03-19,600000000,CNY,82664000,China,Chemicals,This is a Sustainability-linked Bond issuance from Juhua Group Corporation.
China Construction Third Engineering Bureau Group Co. Ltd.,SLB,2023-12-19,1200000000,CNY,166421656,China,Industrials,This is a Sustainability-linked Bond issuance from China Construction Third Engineering Bureau Group Co. Ltd..
Fuzhou Water Group Co.  Ltd,SLB,2024-03-27,400000000,CNY,55258400,China,Utilities,This is a Sustainability-linked Bond issuance from Fuzhou Water Group Co.  Ltd.
Fuzhou Water Group Co.  Ltd,SLB,2024-03-27,300000000,CNY,41443800,China,Utilities,This is a Sustainability-linked Bond issuance from Fuzhou Water Group Co.  Ltd.
Yuexiu Guangzhou Finance Leasing Co. Ltd.,SLB,2024-01-25,60000000,CNY,8288760,China,Financials,This is a Sustainability-linked Bond issuance from Yuexiu Guangzhou Finance Leasing Co. Ltd..
Yuexiu Guangzhou Finance Leasing Co. Ltd.,SLB,2024-01-25,450000000,CNY,61998000,China,Financials,This is a Sustainability-linked Bond issuance from Yuexiu Guangzhou Finance Leasing Co. Ltd..
Yuexiu Guangzhou Finance Leasing Co. Ltd.,SLB,2024-01-25,540000000,CNY,74397600,China,Financials,This is a Sustainability-linked Bond issuance from Yuexiu Guangzhou Finance Leasing Co. Ltd..
Guotai Leasing Limited Company,SLB,2023-12-19,50000000,CNY,6907300,China,Financials,This is a Sustainability-linked Bond issuance from Guotai Leasing Limited Company.
Guotai Leasing Limited Company,SLB,2023-12-19,160000000,CNY,22189554,China,Financials,This is a Sustainability-linked Bond issuance from Guotai Leasing Limited Company.
Guotai Leasing Limited Company,SLB,2023-12-19,400000000,CNY,55473885,China,Financials,This is a Sustainability-linked Bond issuance from Guotai Leasing Limited Company.
Guotai Leasing Limited Company,SLB,2023-12-19,370000000,CNY,51313344,China,Financials,This is a Sustainability-linked Bond issuance from Guotai Leasing Limited Company.
Powchan Financial Group Co.  Ltd.,SLB,2023-06-07,1000000000,CNY,138684714,China,Financials,This is a Sustainability-linked Bond issuance from Powchan Financial Group Co.  Ltd..
Western Mining Group Co. Ltd,SLB,2024-03-21,1000000000,CNY,137773333,China,Materials,This is a Sustainability-linked Bond issuance from Western Mining Group Co. Ltd.
Jizhong Energy Group Co.  Ltd,SLB,2024-03-11,1000000000,CNY,137773333,China,Materials,This is a Sustainability-linked Bond issuance from Jizhong Energy Group Co.  Ltd.
Jizhong Energy Group Co.  Ltd,SLB,2024-03-11,500000000,CNY,68886666,China,Materials,This is a Sustainability-linked Bond issuance from Jizhong Energy Group Co.  Ltd.
Juhua Group Corporation,SLB,2024-03-01,1500000000,CNY,208477500,China,Materials,This is a Sustainability-linked Bond issuance from Juhua Group Corporation.
